Temperature,Humidity,Rainfall,Leaf wetness Hours,Bacterial leaf spot,Alternariablight,Powdery mildew,Rhizopusrot,Downy mildew,Girdle beetle
19.7,61.0,0.0,0.0,0,0,0,0,1,1
14.8,64.0,0.0,0.0,0,0,0,0,0,1
21.7,71.5,0.0,0.0,0,0,0,0,0,1
21.3,68.3,0.0,0.0,0,0,0,0,1,1
20.8,65.0,0.0,0.0,0,0,0,0,1,1
27.4,39.0,0.0,0.0,0,0,0,0,0,0
20.9,69.0,0.0,11.92,0,0,0,0,1,1
19.6,74.0,0.0,12.08,0,1,0,0,0,1
19.6,64.0,0.0,9.75,0,0,0,0,1,1
17.3,63.0,0.0,9.08,0,0,0,0,1,1
19.1,62.0,0.0,8.5,0,0,0,0,1,1
19.4,63.0,0.0,8.83,0,0,0,0,1,1
18.5,67.0,0.0,11.75,0,0,0,0,1,1
22.0,64.0,0.4,11.42,0,0,0,1,1,0
22.0,68.0,0.0,11.92,0,0,0,0,1,1
20.7,73.0,0.0,13.25,0,0,0,0,0,1
20.1,69.0,0.2,10.33,0,0,0,1,1,0
17.7,62.0,0.0,8.67,0,0,0,0,1,1
18.5,63.0,0.0,9.42,0,0,0,0,1,1
21.2,65.0,0.4,11.17,0,0,0,1,1,0
24.1,62.0,0.0,11.0,0,0,0,0,1,1
20.9,60.0,0.0,8.83,0,0,1,0,1,1
17.6,46.0,0.0,1.92,0,0,1,0,0,0
18.0,43.0,0.0,0.0,0,0,0,0,0,0
18.4,46.0,0.0,1.5,0,0,1,0,0,0
20.1,47.0,0.4,1.58,0,0,0,1,0,0
21.4,53.0,0.0,5.33,0,0,1,0,0,0
21.3,46.0,0.0,0.0,0,0,1,0,0,0
21.9,51.0,0.0,5.17,0,0,1,0,0,0
22.5,53.0,0.2,6.0,0,0,1,1,0,0
23.2,51.0,0.0,6.08,0,0,1,0,0,0
23.2,51.0,0.0,4.17,0,0,1,0,0,0
22.5,51.0,0.0,1.17,0,0,1,0,0,0
22.9,50.0,0.4,7.17,0,0,0,1,0,0
23.4,50.0,0.0,5.33,0,0,1,0,0,0
22.1,54.0,0.2,8.42,0,0,1,1,0,0
22.3,50.0,0.0,8.42,0,0,1,0,0,0
23.5,49.0,0.2,8.0,0,0,1,1,0,0
23.9,46.0,0.0,5.5,0,0,1,0,0,0
24.1,41.0,0.0,0.0,0,0,0,0,0,0
23.8,42.0,0.0,1.17,0,0,0,0,0,0
23.8,40.0,0.2,0.0,0,0,0,1,0,0
24.5,42.0,0.0,0.0,0,0,0,0,0,0
24.7,44.0,0.0,0.0,0,0,0,0,0,0
24.0,45.0,0.0,3.58,0,0,1,0,0,0
24.1,51.0,0.0,8.0,0,0,1,0,0,0
25.1,43.0,0.4,2.92,0,0,0,1,0,0
25.9,40.0,0.0,0.17,0,0,0,0,0,0
25.9,37.0,0.0,0.0,0,0,0,0,0,0
26.7,37.0,0.0,0.0,0,0,0,0,0,0
27.2,44.0,0.0,1.75,0,0,0,0,0,0
26.9,47.0,0.0,8.08,0,0,1,0,0,0
24.8,37.0,0.0,0.0,0,0,0,0,0,0
23.2,29.0,0.0,0.0,0,0,0,0,0,0
24.8,32.0,0.0,0.0,0,0,0,0,0,0
25.2,44.0,0.0,6.92,0,0,0,0,0,0
25.2,36.0,0.0,0.58,0,0,0,0,0,0
24.7,33.0,0.2,0.0,0,0,0,1,0,0
26.3,33.0,0.0,0.0,0,0,0,0,0,0
26.5,38.0,0.0,0.0,0,0,0,0,0,0
26.8,34.0,0.0,0.0,0,0,0,0,0,0
26.9,32.0,0.8,0.0,0,0,0,1,0,0
27.3,38.0,0.4,2.25,0,0,0,1,0,0
28.1,42.0,0.0,7.25,0,0,0,0,0,0
28.1,30.0,0.0,0.0,0,0,0,0,0,0
28.2,25.0,0.0,0.0,0,0,0,0,0,0
27.7,29.0,0.0,0.0,0,0,0,0,0,0
28.4,36.0,0.0,0.0,0,0,0,0,0,0
28.7,37.0,0.0,0.0,0,0,0,0,0,0
29.2,43.0,0.0,4.08,0,0,0,0,0,0
27.3,35.0,0.0,0.0,0,0,0,0,0,0
26.6,36.0,0.0,0.0,0,0,0,0,0,0
27.7,37.0,0.0,0.0,0,0,0,0,0,0
28.9,35.0,0.0,0.0,0,0,0,0,0,0
28.9,30.0,0.2,0.0,0,0,0,1,0,0
27.9,35.0,0.0,1.42,0,0,0,0,0,0
27.8,45.0,0.0,7.92,0,0,1,0,0,0
27.9,40.0,0.0,0.67,0,0,0,0,0,0
28.0,42.0,0.0,4.67,0,0,0,0,0,0
29.1,48.0,0.0,8.58,0,0,1,0,0,0
30.2,42.0,0.0,7.58,0,0,0,0,0,0
29.9,42.0,0.0,2.75,0,0,0,0,0,0
29.3,41.0,0.0,7.25,0,0,0,0,0,0
27.1,34.0,0.0,0.0,0,0,0,0,0,0
25.8,39.0,0.0,2.17,0,0,0,0,0,0
28.1,51.0,0.0,10.17,0,0,1,0,0,0
28.3,43.0,0.0,7.75,0,0,0,0,0,0
29.2,34.0,0.0,0.92,0,0,0,0,0,0
30.2,33.0,0.0,0.0,0,0,0,0,0,0
30.5,38.0,0.0,3.08,0,0,0,0,0,0
29.9,39.0,0.0,3.17,0,0,0,0,0,0
29.0,32.0,0.0,0.0,0,0,0,0,0,0
27.9,35.0,0.2,0.0,0,0,0,1,0,0
28.0,33.0,0.0,0.0,0,0,0,0,0,0
27.9,32.0,0.0,0.0,0,0,0,0,0,0
27.9,34.0,0.0,0.0,0,0,0,0,0,0
29.8,37.0,0.0,0.0,0,0,0,0,0,0
30.0,34.0,0.2,0.0,0,0,0,1,0,0
30.1,32.0,0.2,0.0,0,0,0,0,0,0
29.4,35.0,0.0,0.0,0,0,0,0,0,0
29.4,37.0,0.0,0.0,0,0,0,0,0,0
30.4,33.0,0.0,0.0,0,0,0,0,0,0
30.8,36.0,0.0,0.0,0,0,0,0,0,0
31.2,34.0,0.0,0.0,0,0,0,0,0,0
30.2,38.0,0.2,0.0,0,0,0,0,0,0
29.8,34.0,0.0,0.08,0,0,0,0,0,0
29.4,38.0,0.0,0.0,0,0,0,0,0,0
29.4,39.0,0.0,0.67,0,0,0,0,0,0
31.6,34.0,0.0,2.58,0,0,0,0,0,0
31.3,31.0,0.2,0.25,0,0,0,0,0,0
31.6,45.0,4.2,3.58,0,0,0,0,0,0
29.1,58.0,8.6,3.25,0,0,0,1,0,0
30.4,51.0,0.0,0.33,0,0,1,0,0,0
28.7,63.0,0.0,0.25,0,0,0,0,0,1
30.2,58.0,0.0,0.0,0,0,1,0,0,0
30.9,55.0,0.2,0.83,0,0,1,0,0,0
29.2,62.0,0.0,0.0,0,0,0,0,0,1
29.0,62.0,0.0,0.0,0,0,0,0,0,1
29.4,55.0,0.0,0.0,0,0,1,0,0,0
29.2,60.0,0.0,0.17,0,0,1,0,0,1
29.0,60.0,0.0,0.08,0,0,1,0,0,1
29.4,61.0,0.0,0.0,0,0,0,0,0,1
27.6,72.0,53.8,6.17,0,0,0,1,0,0
26.2,85.0,0.2,8.75,1,0,0,1,0,0
26.8,79.0,0.4,0.0,0,0,0,1,0,0
26.6,74.0,0.0,0.0,0,0,0,0,0,1
27.3,69.0,0.0,0.0,0,0,0,0,0,1
27.5,64.0,0.0,0.0,0,0,0,0,0,1
27.9,62.0,0.0,0.0,0,0,0,0,0,1
28.4,60.0,0.0,0.0,0,0,1,0,0,1
28.6,60.0,0.0,0.0,0,0,1,0,0,1
28.2,61.0,0.0,0.0,0,0,0,0,0,1
28.6,60.0,0.0,0.0,0,0,1,0,0,1
28.9,57.0,0.0,0.0,0,0,1,0,0,0
29.1,58.0,0.0,0.0,0,0,1,0,0,0
27.6,67.0,20.2,6.5,0,0,0,1,0,0
26.9,79.0,4.0,11.42,0,0,0,1,0,0
27.1,79.0,0.0,2.92,0,0,0,0,0,1
28.3,72.0,0.0,0.0,0,0,0,0,0,1
29.5,69.0,0.4,4.25,0,0,0,1,0,0
28.6,68.0,0.4,1.58,0,0,0,1,0,0
